Contexto.Precedente,Ocorrencia,Contexto.Seguinte,faixa.etaria,sexo.genero,registro,amostra
a primeira coisa chocolate QUENte... aonde,a gente<G>,chegava tinha chocolate quente... aí,3,M,DID,II
num é a cidade do chocolate?,a gente<G>,tinha que ter de manhã/,3,M,DID,II
Inf. – pelo meno lá onde,a gente<G>,todo dia ia tomar café,3,M,DID,II
em mim não... aí de noite,a gente<G>,ia pra outros CANto... ia,3,M,DID,II
argentina?  Inf. – a argentina,a gente<G>,foi só no primeiro dia...,3,M,DID,II
vários animais... arara BEM mansinha que,a gente<G>,quando saía o rapaz botava,3,M,DID,II
pagamos TUdo daqui... os passeios que,a gente<G>,já ia fa/ fazendo a,3,M,DID,II
a T. tudo já fez aqui,a gente<G>,já(...)  Doc. – vocês,3,M,DID,II
gostei de gramado assim porque... aqui,a gente<G>,fa/ vai passar na faixa,3,M,DID,II
bonito isso né... que aqui onde,a gente<G>,anda tem os pedinte né...,3,M,DID,II
existe pis/ pichação... as ruas aonde,a gente<G>,passa aquelas flores cada coisa,3,M,DID,II
lindas... as flores/ ROsas... menina assim,a gente<G>,passando nas casa... casa que,3,M,DID,II
levantava com uma dor nas costas...,a gente<G>,parava pra almoçar né... o,3,M,DID,II
já certo... aí depois entra no/,a gente<G>,levava LANche pra merendar dentro,3,M,DID,II
– hanram...  Inf. – pronto...,a gente<G>,chegou lá já de manhã,3,M,DID,II
[bem transparentezinha... aí tinha dia que,a gente<G>,ia visitar/ nós fomo outro,3,M,DID,II
dia/ véu de noiva... era umacachoeira...,a gente<G>,andou foi MUIto... também de,3,M,DID,II
canto não que não tinha... ai,a gente<G>,voltou... chegamos em casa de,3,M,DID,II
– é... foi bom demais... aí,a gente<G>,levava merenda pra merendar no,3,M,DID,II
noite nesse dia... era assim quando,a gente<G>,saia só voltava à noite,3,M,DID,II
de jacóbina nós fomos comer acarajé...,a gente<G>,entrava nas iGREjas pra conhecer...,3,M,DID,II
te/ tinha um local lá que,a gente<G>,vamos conhecer aqui... é um,3,M,DID,II
era  Inf. – estádio... que,a gente<G>,esperando o ônibus né... e,3,M,DID,II
quando eles chegaram na casa que,a gente<G>,ia ficar... eu disse menino,3,M,DID,II
vieram pra casa né... pra onde,a gente<G>,tava... só que quando eles,3,M,DID,II
mercantil... aí o café da manhã,a gente<G>,fazia lá né... comprou TANta,3,M,DID,II
sobrou foi coisa... agora o almoço,a gente<G>,ia almoçar fora...  Doc.,3,M,DID,II
– tinha TUdo... tinha TUdo... aí,a gente<G>,de manhã eu me acordava,3,M,DID,II
que fazia o café eles comiam,a gente<G>,saía pra conhecer as/ os,3,M,DID,II
fui... bem pertinho da casa que,a gente<G>,tava/ assim uns metros tinha,3,M,DID,II
aí pronto... todo dia de manhã,a gente<G>,saía pra conhecer uma/ lá,3,M,DID,II
fomos merendar lá em frente onde,a gente<G>,tava... todo mundo merendando lá,3,M,DID,II
e fizeram a mesma coisa que,a gente<G>...,olha não é só a,3,M,DID,II
a gente<G>... olha não é só,a gente<G>,não... olha ali... a L.,3,M,DID,II
eu beBIA... ah era bom demais...,a gente<G>,passava o DIA na praia...,3,M,DID,II
época... eu gostava demais... todos anos,a gente<G>,ia pra paracuru... todos anos(...),3,M,DID,II
era o dia do nosso retiro,a gente<G>,ia pro/ lá pra/ também,3,M,DID,II
Inf. – não ia... aí,a gente<G>,ia... era/ uma turma de,3,M,DID,II
curso de miNIstra... durante seis meses,a gente<G>,terminava e ia estagiar né...,3,M,DID,II
Inf. – era assim... na época,a gente<G>,tinha muita amizade com o,3,M,DID,II
ele arranjava aquelas topique... aí levava,a gente<G>,e ia buscar...  Doc.,3,M,DID,II
de buscar?  Inf. – era...,a gente<G>,ligava/ também tinha aquelas lá,3,M,DID,II
aquelas lá em... aquelas casas que,a gente<G>,ia sempre...  Doc. –,3,M,DID,II
Inf. – na telemar... antigamente,a gente<G>,só vivia indo... tu lembra?,3,M,DID,II
lembra? tu ia... pra telemar... aí,a gente<G>,passava lá também uma semana...,3,M,DID,II
pra praia... aí lá da praia,a gente<G>,ia pra um RIO que,3,M,DID,II
deram aquelas toalha descartável né... que,a gente<G>,tava no hospital... pronto chegamos,3,M,DID,II
BOlsa... e a mãe por que,a gente<G>,já vai? a mãe tava,3,M,DID,II
Inf. – um dia antes...,a gente<G>,era pra vir na terça,3,M,DID,II
não foi mais pro trabalho aí,a gente<G>,começou a notar né... aí,3,M,DID,II
clínica lá... ela passou uns dias...,a gente<G>,queria ficar... não pode que,3,M,DID,II
não pode que atrapalha o tratamento...,a gente<G>,ia só visitar... todo dia,3,M,DID,II
ela... ela PUxou tudo... na uti...,a gente<G>,pra entrar lá tinha que,3,M,DID,II
no domingo que é pra desestressar,a gente<G>,que é na diária...,3,M,DID,II
espontâneo... eu me lembro que quando,a gente<G>,era (pequenininho) ia tudo pra,3,M,DID,II
de saúde... TOdo dia de manhã,a gente<G>,ia PRA LÁ... tomar sopa...,3,M,DID,II
aí a tia foi e TROuxe,a gente<G>,ela foi pro hospital...,3,M,DID,II
em casa... ele construiu em cima...,a gente<G>,foi morar em cima e,3,M,DID,II
ainda fiquei lá... ele faleceu aí...,a gente<G>,tava nesse quarto...  Doc.,3,M,DID,II
eu acho que foi assim... QUANdo,a gente<G>,participava daquele grupo da dona,3,M,DID,II
contabilidade que tira NOssa oportunidade... que,a gente<G>,cobra um valor X e,2,M,DID,II
valor Y... muito inferior daquilo que,a gente<G>,cobra a realidade  Doc.,2,M,DID,II
mais barato muito mais barato...QUER dizer,a gente<G>,vive numa/numa vida assim... num,2,M,DID,II
batalham pra ganhar o dinheiro... e,a gente<G>,sim batalha mas só que,2,M,DID,II
gente<G> sim batalha mas só que,a gente<G>,não tem que a gente<G>,2,M,DID,II
que a gente<G> não tem que,a gente<G>,é realmente/ a remuneração a,2,M,DID,II
a gente<G> é realmente/ a remuneração,a gente<G>,merece  Doc. – não,2,M,DID,II
MErecia ser chamada de doutora mas,a gente<G>,não é considerada doutora,2,M,DID,II
– e nem Isso o nosso,a gente<G>,num tem esse padrão não,2,M,DID,II
você sabe que isso não qualifica,a gente<G>,né? Isso não é um,2,M,DID,II
cinco anos... como contadora... na REalidade,a gente<G>,diz assim que a gente<G>,2,M,DID,II
REalidade a gente<G> diz assim que,a gente<G>,se dá bem com cliente,2,M,DID,II
não dá certo porque nem com,a gente<G>,dá nem quanto mais com,2,M,DID,II
não aceita muitas vezes o que,a gente<G>,diz né? a gente<G> TENta,2,M,DID,II
o que a gente<G> diz né?,a gente<G>,TENta fazer da maneira po/,2,M,DID,II
possível para ver se realmente eles,aceita gente<G>,mas você sabe que é,2,M,DID,II
Infor.- ((ruídos aéreo)) é... é melhor,a gente<G>,lidar com animal ((risos)),2,M,DID,II
Doc.- sei...  Infor.- MAs,a gente<G>,tenta o melhor possível a,2,M,DID,II
a gente<G> tenta o melhor possível,a gente<G>,leva avante a familia da,2,M,DID,II
irmã que é a mãe acha que,a gente<G>,tem preconceito com ele...não nós,2,M,DID,II
acho que eles não aceitaram... mas,a gente<G>,tem nada a ver não,2,M,DID,II
dele Hoje... HOje no mundo que,a gente<G>,vive hoje é o dinheiro,2,M,DID,II
gente<G> tá agora... a/na cidade onde,a gente<G>,mora no país onde a,2,M,DID,II
a gente<G> mora no país onde,a gente<G>,mora a violência vai cada,2,M,DID,II
um padre falou para mim não,a gente<G>,tem que ler a Bíblia,2,M,DID,II
meu Deus eh... só o que,a gente<G>,ver agora é gente com,2,M,DID,II
é o problema Maria? é porque,a gente<G>,vive num mundo muito de,2,M,DID,II
Infor.- pois... na REalidade o seguinte...,a gente<G>,vive num mundo o seguinte...,2,M,DID,II
aCIma de tudo... o DEus que,a gente<G>,num/ num precisa que a,2,M,DID,II
a gente<G> num/ num precisa que,a gente<G>,passou a acreditar que ele,2,M,DID,II
mas esse é o mundo que,a gente<G>,vive hoje...é a falta de/de,2,M,DID,II
entendeno eh... é desse jeito que,a gente<G>,coNHEce as pessoas né? eh...,2,M,DID,II
problema meu...então vamos ver o que,a gente<G>,vai levar...  Doc.- enquanto,2,M,DID,II
Doc.- enquanto nos dois não QUIzerem...,a gente<G>,fica juntos...  Infor.- vamo,2,M,DID,II
"Infor,- mas naquela época Maria...",a gente<G>,sei lá acho que é,2,M,DID,II
sei lá acho que é porque,a gente<G>...,e ALÉM do mais era,2,M,DID,II
eu terminei o crédito educativo que,a gente<G>,se recebeu o carnê da,2,M,DID,II
Infor.- bateu a foto lá...,a gente<G>,viu e tudo... aí ele,2,M,DID,II
eleito foi o melhor eu não sei...,a gente<G>,só sabe quem é o,2,M,DID,II
DAqui pra frente...dois mil e dezenove,a gente<G>,vai saber se foi BOM,2,M,DID,II
PIor afeta não só ele como,a gente<G>,também...é mesmo como diz todo,2,M,DID,II
o que eu também acho...por exemplo,a gente<G>,tem que torcer pra que,2,M,DID,II
é diferente...  Infor. - é mas,a gente<G>,não briga não... porque cada,2,M,DID,II
mulher bem parecida e tudo éh...como,a gente<G>,ver a questão daqueles famosos...,2,M,DID,II
eu trabalhava à tarde assim ..sabe...não...,a gente<G>,trabalha assim arquivando documento... mas,2,M,DID,II
GOStei...ele ele...inclusive quando nós nos casamos,a gente<G>,veio morar aqui...AÍ ele...pegou as,2,M,DID,II
nada por....ela escreve carta e manda,a gente<G>,mandar pra dela mesmo mandei...,2,M,DID,II
é? nem bote/ nem me diga,a gente<G>,perde o tempo pra gente,2,M,DID,II
não...eu não gosto nada que vicie,a gente<G>,não...porque o celular vicia,2,M,DID,II
Gracie pra NUNCA mais na minha vida,a gente<G>,foi pra lá começou uma,2,M,DID,II
e aí ela...é::: aí depois DEla,a gente<G>,teve uma outra irMÃ que,2,M,DID,II
"um bom::: período, né? nesse período",a gente<G>,morava – sempre a gente<G>,2,M,DID,II
período a gente<G> morava – sempre,a gente<G>,morou aqui no/no bairro da,2,M,DID,II
"aqui no/no bairro da ParanGAba, mas",a gente<G>,morou nessa CAsa que próximo,2,M,DID,II
próximo é ali o CROa... e,a gente<G>...,LÁ que a minha irmã,2,M,DID,II
nasCEU né... eu lembro aTÉ assim::,a gente<G>,brinCAN::do eu com a minha,2,M,DID,II
com a minha outra irmã que é,a gente<G>,a diferença de idade era,2,M,DID,II
Inf. -pouco tempo e,a gente <G>,brincava MUI::to... AÍ lembro assim,2,M,DID,II
lembro dessa-dessa casa e dessa casa,a gente<G>,foi para OUtra no mesmo,2,M,DID,II
mesmo bairro e lá foi que,a gente<G>,fico::u uns treze anos nessa,2,M,DID,II
vizim:: ela sempre ia brincar com,a gente<G>,porque eu não ia,2,M,DID,II
era Otra menina...e aí::: mesmo assim::,a gente<G>,tava tão feliz porque como,2,M,DID,II
uma felicidade né? e assim e,a gente<G>,é::: foi toda - até,2,M,DID,II
ela FOi NÉ... pra a maternidade,a gente<G>,ficou naquela expectativa e por,2,M,DID,II
perTIM... e:: AÍ ela teve...AÍ quando,a gente<G>,SOube era um menino NÉ...,2,M,DID,II
que são seis irMÃOS... e AÍ:::,a gente<G>,comeÇOu NÉ a crescer:: né?,2,M,DID,II
tinha essa violência que tinha hoje,a gente<G>,brinCAva de amareLInha brinCAva assim,2,M,DID,II
VIStas NÉ... da minha MÃe que,a gente<G>,NÃO era MUIto - -,2,M,DID,II
CAsa de AMI::go de dorMI:: NUnca,a gente<G>,sempre era:: alí também eu,2,M,DID,II
Época e assim e asSIM com,a gente<G>,era... eu e a SilVAnia,2,M,DID,II
da mesma idade - - enTÃO,a GEnte<G>,brincava MUIto nós duas né...,2,M,DID,II
MUIto nós duas né... e AÍ::,a gente<G>,não Era - - também,2,M,DID,II
também a mãe não deiXAva e,a gente<G>,também não IA… e era,2,M,DID,II
bem:: tranQUIla né? nesse peRÍodo assim,a gente<G>,ia MUIto para a CAsa,2,M,DID,II
quarteirões:... de lá NÉ da onde,a gente<G>,moRAva porque o meu pai,2,M,DID,II
chegava em casa a NOIte... então,a gente<G>,IA pra minha VÓ porque,2,M,DID,II
antes quando era só nois três,a gente<G>,ia MAIS vezes para a,2,M,DID,II
fiCOU MAIS...assim pra gente ir que,a gente<G>,ir a pé e a,2,M,DID,II
a gente<G> ir a pé e,a gente<G>,fiCOU mais em casa mais,2,M,DID,II
que era nois três TOdo dia,a gente<G>,tinha que ir PA vó...,2,M,DID,II
que ir PA vó... eLÁ tamBÉM,a gente<G>,construiu aSSIM uma infância né?,2,M,DID,II
MÚsicas antigas porque ERA o que,a gente<G>,escutava muito né? dos anos,2,M,DID,II
roMÂNtica que meus tios escuTAvam e,a gente<G>,acaBAva é:: também escuTAndo e-e-e,2,M,DID,II
já é falecida e na Época,a GEnte<G>,vivia muito LÁ e depois,2,M,DID,II
parte que eu lembro que eu/quando,a gente<G>,ia pra lá assim dia,2,M,DID,II
lá assim dia de domingo que,a gente<G>,ia logo de manhã: né?,2,M,DID,II
)  Inf. - na semana,a gente<G>,ia de tarde porque ia,2,M,DID,II
tá aberta roubaram a televisão...aí quando,a gente<G>,chegava eu ia cum aquela::/aquele,2,M,DID,II
meu pai ia bem brigar porque,a gente<G>,tinha saído aí casa tinha,2,M,DID,II
Inf. - (…) monitorando… aí,a gente<G>,aconteceu umas duas ou foi,2,M,DID,II
três vezes… alguém que sabia que,a gente<G>,ia sair - - naquela,2,M,DID,II
tudo de bom é tanto que,a gente<G>,criou um vínculo tão grande,2,M,DID,II
que ele até faleceu esse ano...né?,A gente<G>,conseguia muitas bolsas com ele,2,M,DID,II
certeza  Inf. - e aí,a gente<G>,ia fazendo a nossa parte...aí:::,2,M,DID,II
isso aí foi muito bom que,a gente<G>,adquiri responsabilidade cedo você dá,2,M,DID,II
em casa foi o tempo que,a gente<G>,não ia mais pa minha,2,M,DID,II
ia mais pa minha vó porque,a gente<G>,já-já trabalhava já ia pa,2,M,DID,II
já-já trabalhava já ia pa academia,a gente<G>,já ia final de semana…,2,M,DID,II
época não existia isso assim né?,A gente<G>,tinha a radio que distribuia,2,M,DID,II
aí quem fazia o fb e,a gente<G>,não fazia a gente<G> pegava,2,M,DID,II
fb e a gente<G> não fazia,a gente<G>,pegava carona né? Pegava os...e,2,M,DID,II
pegava carona né? Pegava os...e aí,a gente<G>,escutava as aulas e as,2,M,DID,II
Aí eu conheci outras amigas e,a gente<G>,estudava ia pro cursinho ia,2,M,DID,II
alimentavam iguais as outras né? E,a gente<G>,é assim foi uma experiência,2,M,DID,II
sempre ajudou a família…ele ajudou e,a gente<G>,comprou esse terreno na época,2,M,DID,II
gente<G> comprou esse terreno na época,a gente<G>,não dava pra ajudar né?,2,M,DID,II
Inf. - por conta de,a gente<G>,ainda tá né?...começando a vida,2,M,DID,II
começou aí elas começaram a construir::,a gente<G>,vinha deixar almoço pos/pros pedreiro,2,M,DID,II
Humrum  Inf. - e aí,a gente<G>,construiu essa casa aí ness/aí,2,M,DID,II
um pouco distante da casa que,a gente<G>,ma...né? Moramos  Doc. -,2,M,DID,II
- morávamos  Doc. - e,a gente<G>,veio para essa casa e,2,M,DID,II
Deus foi um alegria muito grande….e-e,a gente<G>.,..é:::assim a minha mãe que me,2,M,DID,II
é::: eu depois de um tempo,a gente<G>,conseguiu conseguiu um estágio...aí eu,2,M,DID,II
- e eu fui mais porque,a gente<G>,fazia um outro tipo de,2,M,DID,II
era sobre o saneamento básico e,a gente<G>,ia fazer um trabalho social…,2,M,DID,II
era na regional três só que,a gente<G>,saia pra fazer o trabalho,2,M,DID,II
Inf. - visitava as casas…,a gente<G>,fazia trabalho cum a comunidade,2,M,DID,II
questão de desperdício da água então,a gente<G>,fazia campanha de arborização era,2,M,DID,II
com o BNDES na época né...e,a gente<G>,fazia essa parte mesmo sabe...aí,2,M,DID,II
parte mesmo sabe...aí formava na-na comunidade,a gente<G>,via quem era os lider,2,M,DID,II
os lider comunitário daquele local e,a gente<G>,convidava fazia capacitação com eles...aí,2,M,DID,II
de e::: geração né emprego e renda...,a gente<G>,ofertava através desses  Doc.,2,M,DID,II
- que contratava e as vezes,a gente<G>,passava dois ou três meses,2,M,DID,II
um bom dinheirinho  Inf. -,a gente<G>,recebia um bom dinheirinho... só,2,M,DID,II
um bom dinheirinho... só que como,a gente<G>,ficava muito/devendo muito também ṕorque,2,M,DID,II
eu tinha que falar… e aí,a gente<G>,aí eu fui começando falando,2,M,DID,II
que dar palestra com as crianças,a gente<G>,tinha que ir nas creches,2,M,DID,II
o trabalho também com as crianças,a gente<G>,fazia com os adolescentes a,2,M,DID,II
a gente<G> fazia com os adolescentes,a gente<G>,ia nas escolas era muito,2,M,DID,II
porque os recursos iam diminuindo e,a gente<G>,tinha que uma ia saia,2,M,DID,II
também lá também com saneamento e,a gente<G>,visitava casa por casa é:::,2,M,DID,II
e a minha mãe ficou e,a gente<G>,ficou assim muito chocada e,2,M,DID,II
período é dessas minhas visitas porque,a gente<G>,visitava eu também…te uma parte,2,M,DID,II
revisões e cumo era essas revisões,a gente<G>,era chamada tratada e a,2,M,DID,II
a gente<G> era chamada tratada e,a gente<G>,ia visitar as famílias que,2,M,DID,II
mas como pessoa porque as vezes,a gente<G>,chegava eu chegava numa casa,2,M,DID,II
que a mãe fazia tudo como,a gente<G>,chegava numas que a mãe,2,M,DID,II
esquecida alí:: né::… maltratada e aí,a gente<G>,tinha que fazer o relatório,2,M,DID,II
marido que foi o Márcio...e aí,a gente<G>,fazia pouco tempo que tava,2,M,DID,II
exposta também e hoje em dia,a gente<G>,não sabe... isso aconteceu em,2,M,DID,II
era muito bom:::... o salário quando,a gente<G>,começou  Doc. -mas tem,2,M,DID,II
e até hoje num é do,a gente<G>,num é...nível médio num é,2,M,DID,II
num é...nível médio num é e,a gente<G>,viu assim prefeitura tem que,2,M,DID,II
médio que ganha muito mais que,a gente<G>,que é do mesmo nível,2,M,DID,II
fiz um trabalho que eles chamaram,a gente<G>,pra ir nas/nos centros educacionais...né,2,M,DID,II
era uma equipe muito grande e,a gente<G>,tinha duas fases da pesquisa,2,M,DID,II
duas fases da pesquisa a primeira,a gente<G>,tinha que ir no centro,2,M,DID,II
centro educacional e entrevistar cada um...e,a gente<G>,era dividia tantas pessoas era,2,M,DID,II
e perguntava... éh::: na entrevista né,a gente<G>,não podia tinha que ir,2,M,DID,II
eles diziam… é tia – chamavam,a gente<G>,de tia – eu-eu fiz,2,M,DID,II
via assim a situação né: e,a gente<G>,perguntava nã::o aí eu perguntava,2,M,DID,II
e a outra essa fase aí,a gente<G>,tava lá dentro almoçava lá,2,M,DID,II
Inf. - passava o dia todo,a gente<G>,ia almoçava lá o mesmo,2,M,DID,II
aula lá só que éh assim,a gente<G>,não almoçava no horário que,2,M,DID,II
perguntando assim...hoje eu não teria coragem,a gente<G>,tinha que ir atrás dos,2,M,DID,II
acontecer alguma coisa né e quando,a gente<G>,chegava e quando eu chegava,2,M,DID,II
quando eu chegava no local que,a gente<G>,perguntava o nome da pessoa,2,M,DID,II
api eu passei meu deus e,a gente<G>,fica assim você também não,2,M,DID,II
trabalhava lá só seis horas né,a gente<G>,aí eu trabalhava direto dois,2,M,DID,II
um tempo foi na época que:::,a gente<G>,pensou né em ter um,2,M,DID,II
né em ter um filho...e aí,a gente<G>,ficou tentando e nada e,2,M,DID,II
vamos perder as esperanças vamo vê..aí,a gente<G>,levou pum médico aí o,2,M,DID,II
ele falou isso e agora porque,a gente<G>,não tinha condições financeiras porque,2,M,DID,II
) imagem ele atende lá…e aí,a gente<G>,foi né: ele atendeu a,2,M,DID,II
a gente<G> foi né: ele atendeu,a gente<G>,super bem né olhou os,2,M,DID,II
tudo aí ele disse realmente porque,a gente<G>,ia fazer o outro processo,2,M,DID,II
( )  Inf. - que,a gente<G>,ia ter mais chance na,2,M,DID,II
Inf. - é:: ele disse olha,a gente<G>,vai até onde a gente<G>,2,M,DID,II
olha a gente<G> vai até onde,a gente<G>,pode Deus é que vai::,2,M,DID,II
vai:: vai ver se vai vingar,a gente<G>,faz até o final onde,2,M,DID,II
até o final onde pode...e aí,a gente<G>,começo uma batalha né: é,2,M,DID,II
o que ele podia fazer aí,a gente<G>,entrou num programa que-que diminuiu,2,M,DID,II
- em muitas vezes… e aí,a gente<G>,foi começou o tratamento e::,2,M,DID,II
foi começou o tratamento e:: como,a gente<G>,não tinha dinheiro suficiente pra,2,M,DID,II
Inf. - (…) que colocava e,a gente<G>,na época eles conseguiram arrecadar,2,M,DID,II
"sei hoje ,mas na época que",a gente<G>,fez ela vinha de fora,2,M,DID,II
de fora num era daqui...e aí,a gente<G>,começou nossa batalha de::: fazer,2,M,DID,II
teve contato com Juscelino... né inclusive,a gente<G>,tem até foto deles... que,3,M,DID,II
era candango um nomezim assim... mas,a gente<G>,tem até fotos da construção,3,M,DID,II
ficava mandando dinNHEIro... né na verdade,a gente<G>,realmente foi/ fomos pessoas muito,3,M,DID,II
mãe nunca trabalhou com muita dificuldade,a gente<G>,morava perto da minha vó,3,M,DID,II
arranjou uma vaga lá não que,a gente<G>,puder pagar a gente<G> não,3,M,DID,II
não que a gente<G> puder pagar,a gente<G>,não pagar eu estava de,3,M,DID,II
passar um dia em Aracati com,a gente<G>,pra repousar pra descansar ela,3,M,DID,II
avô foi ela... e aí... nisso,a gente<G>,foi na véspera de viajar,3,M,DID,II
Jaguaribe mostrá-la... eu e as internas,a gente<G>,tinha passeios passeios da gente,3,M,DID,II
no Jaguaribe... né e aí nisso,a gente<G>,pegou... nós pegamos um barco,3,M,DID,II
ficamos numa croinha... eu me lembro,a gente<G>,ta falando e as coisas,3,M,DID,II
ali aquela hora... e aí nisso,a gente<G>,já ia todas vestidas eram,3,M,DID,II
cantando brincando pulando quando de repente,a gente<G>,cai no buraco... aí desse,3,M,DID,II
tava com onze... e aí disso,a gente<G>,veio embora para Fortaleza... né,3,M,DID,II
vivia passou mais de ano e,a gente<G>,ficou sendo criada... era uma,3,M,DID,II
viajou mais para Brasília e aí,a gente<G>,deu continuidade na vida né,3,M,DID,II
né eu me lembro que quando,a gente<G>,era nessa faixa tudo de,3,M,DID,II
uma tia minha que morava com,a gente<G>,e aí meu pai não,3,M,DID,II
muito boa certo? aprendi muita coisa,a gente<G>,aprende muita coisa... então eu,3,M,DID,II
tinha um:: estágio nas escolas e,a gente<G>,fazia um projeto... nessa época,3,M,DID,II
gente<G> fazia um projeto... nessa época,a gente<G>,fazia projeto... acho que ainda,3,M,DID,II
concluí... concluí junto já na época,a gente<G>,poderia fazer nós tínhamos três...,3,M,DID,II
merecemos mas ele nos dá né,a gente<G>,só tem que agradecer mesmo...,3,M,DID,II
fomos criados assim... de fazer terços...,a gente<G>,se reunir quando era criança,3,M,DID,II
era criança nesse horário de horas...,a gente<G>,é:: tudo brincando no meio,3,M,DID,II
é sério eu não tinha nada,a gente<G>,brincava no meio da rua,3,M,DID,II
de PEdra brincava de (guizado)... era,a gente<G>,sentava na calçada tudo isso,3,M,DID,II
gente<G> sentava na calçada tudo isso,a gente<G>,fazia tudo tudo tudo tudo,3,M,DID,II
fazia tudo tudo tudo tudo isso,a gente<G>,fizemo aí quando chegava o,3,M,DID,II
era confuSÃO pra gente ir mas,a gente<G>,ia... todo mundo ia... e,3,M,DID,II
o outro respondia ((risos))... era... então,a gente<G>,teve muito assim... de ir,3,M,DID,II
que mora nessa rua aqui quando,a gente<G>,sai daqui onde tem o,3,M,DID,II
meu pai tava bem numa boa,a gente<G>,vinha caminhando... assistia missa de,3,M,DID,II
lembro nos banquinhos sentado no chão,a gente<G>,tinha catecismo aí... então eu,3,M,DID,II
chega um tempo na vida que,a gente<G>,se afa::sta porque ele tem,3,M,DID,II
afa::sta porque ele tem faculdade mas,a gente<G>,nunca perde a... a essência,3,M,DID,II
de trabalho tem muitas aposentada... mas,a gente<G>,se encontra todo mÊs... a,3,M,DID,II
a gente<G> se encontra todo mÊs...,a gente<G>,festeja os aniversário de cada,3,M,DID,II
nós temos um uma... cota que,a gente<G>,dá todo mês... para comprar/,3,M,DID,II
Natal no final do ano que,a gente<G>,chama de caixinha... e para,3,M,DID,II
nós temos essas amigas... né que,a gente<G>,se encontra aí quando é,3,M,DID,II
no final do ano aí sexta-feira,a gente<G>,se encontrou para combinar o,3,M,DID,II
né aonde vai ser o Natal,a gente<G>,ainda está decidindo aí::... aí,3,M,DID,II
arte... e:: as pesso/ e aí,a gente<G>,realmente implantou todo mundo e,3,M,DID,II
tem uma nota... né essa nota,a gente<G>,tem que alcançar que tipo,3,M,DID,II
que se chama... né e quando,a gente<G>,consegue atingir essa média aí,3,M,DID,II
atingir essa média aí é quando,a gente<G>,ganha prê::mio e aí quando,3,M,DID,II
quatro horas do dia eles monitora,a gente<G>,Doc. – e é,3,M,DID,II
investem nada?  Inf. – não...,a gente<G>,INVESTE  Doc. – não...,3,M,DID,II
não tem mais isso não... aí,a gente<G>,é tipo/ ora se chega,3,M,DID,II
tem lutar para conseguir... agora se,a gente<G>,vai conseguir... a gente<G> faz,3,M,DID,II
agora se a gente<G> vai conseguir...,a gente<G>,faz tudo... TODAS AS AÇÔES...,3,M,DID,II
ano inteiro desse jeito... mas se,a gente<G>,vai conseguir...  Doc. –,3,M,DID,II
que não estuDARAM e quiser indicar,a gente<G>,trabalha ali por trás do,2,M,DID,II
( )  Inf..- POIS é,a gente<G>,é semipresencial lá a gente<G>,2,M,DID,II
é a gente<G> é semipresencial lá,a gente<G>,atende uns/eles têm/ eles se…,2,M,DID,II
Doc...- … legal   Inf..- aí,a gente<G>,tem um atendimento lá também,2,M,DID,II
Inf..- NA:: escoLA... na escola que,a gente<G>,chama de escola convencional... que,2,M,DID,II
no CEJA não porque né? enquanto,a gente<G>,trabalha com criança a gente<G>,2,M,DID,II
enquanto a gente<G> trabalha com criança,a gente<G>,tem que muitas vezes convencer,2,M,DID,II
a importância… e...   Inf..- é::,a gente<G>,tem um trabalho bem meNOR,2,M,DID,II
o CEJA (foi lá por exemplo,a gente<G>,atende) nós trabalhamos em forma,2,M,DID,II
outro grupo vem uma hora não…,a gente<G>,é ininterrupto exatamente porque tem,2,M,DID,II
AH NÃO… deixa pra lá... ,a gente<G>,atende é incrível esse nosso,2,M,DID,II
incrível esse nosso trabalho é lindo,a gente<G>,atende por exemplo senhoras que,2,M,DID,II
né? ( ) muitos alunos muitos...,a gente<G>,tem alunos que sai de,2,M,DID,II
os resultados… outros vão por DETERMINAção,a gente<G>,"tem alunos, nós tivemos uma",2,M,DID,II
presencial de adultos e alfabetização e,a gente<G>,alfabetizava alunos depois dos cinquenta...,2,M,DID,II
filhos na tarefa... eu sei... que,a gente<G>,conseguir fazer um trabalho assim...,2,M,DID,II
um projeto foi... Inf.elizmente foi extinto,a gente<G>,não tem mais essas turmas,2,M,DID,II
Inf..- É pouco divulGADO M. assim,a gente<G>,até... acredita… é/é inclusive existem,2,M,DID,II
sabem que aLI tem uma escola...,a gente<G>,é que é quase o,2,M,DID,II
para que as pessoas conheçam que,a gente<G>,tem um índice de analfabetismo,2,M,DID,II
um estado... de um PAÍS né?,a gente<G>,tem muito interesse nisso... muito,2,M,DID,II
Inf..- os professores ficam a disposição,a gente<G>,tem horário... nós temos horário,2,M,DID,II
entrada e saída como qualquer escola,a gente<G>,) por exemplo eu trabalho,2,M,DID,II
é uma coisa muito boa porque,a gente<G>,acaba… o aluno ele cria/ele,2,M,DID,II
aluno quando termina a disciplina e,a gente<G>,faz algumas conversas de bastidores,2,M,DID,II
que disciplina mas nós…  da escola,a gente<G>,sempre incentiva eles começarem por,2,M,DID,II
física que/ como depende DA MATEMÁTICA,a gente<G>,escola PEDE... não é uma,2,M,DID,II
uma antiguidade recente né? ainda hoje,a gente<G>,ver propaganda por aí assim...,2,M,DID,II
esse supletivo em tantos meses emBOra,a gente<G>,saiba que tem alunos que,2,M,DID,II
